productid,product_brand,product_name,product_category,price_inr,discount_price,percentage,currency,delivery_options,expiration_date,packaging_type,country_origin,image_url,description_1,description_2,customer_review1,customer_reviewer1,customer_review2,customer_reviewer2,customer_review3,customer_reviewer3,customer_review4,customer_reviewer4,available_size1,available_size2,available_size3,available_size4,additional_feature2,additional_feature3,additional_feature1,npk_ratio
1089,SoilSaver,Organic Manure,Chemical Fertilizer,875,781,11,INR,Free Shipping,10-05-2025,Canister,India,http://drive.google.com/thumbnail?id=1eWFBC2CCbA0CtxbQk1X8joXOTyPkrukh&sz=s408,"Organic Manure boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Organic Manure, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Neha,"Easy to use, results are visible within weeks.",Rahul,"Excellent product, highly recommended!",Jagadeesh,"Good quality fertilizer, improved soil health significantly.",Lakshmi,250grms,750grms,1kg,5kg,"Maintains effectiveness for longer periods, ensuring durability in storage.",Enriched with essential nutrients for faster growth.,"Give your plants a boost with Organic Manure, enhancing overall plant vitality.",16:07:04
1090,CropMax,Organic Manure,Organic Fertilizer,773,738,5,INR,Same Day Delivery,15-01-2028,Bag,India,http://drive.google.com/thumbnail?id=1GCctFNPTXpDlL-9b2xi9ANyJomDcD2V-&sz=s408,Give your plants the nourishment they deserve with Organic Manure.,"Ensure vibrant plant life with Organic Manure, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Manish,"Good quality fertilizer, improved soil health significantly.",Rahul,"Would buy again, very satisfied.",Neha,"Good value for money, effective results.",Rohan,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,Improves soil aeration and water retention.,"Formulated for Organic Manure, enhancing your soil's fertility and plant resilience.",16:08:06
1091,EcoFert,Humic Acid Fertilizer,Organic Fertilizer,754,718,5,INR,Free Shipping,21-09-2025,Canister,India,http://drive.google.com/thumbnail?id=10ln7-H7mauN44fPjR0ND8VMVQrSqK4XE&sz=s409,"Get exceptional growth with Humic Acid Fertilizer, your plants' best ally.","Ensure vibrant plant life with Humic Acid Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Ananya,"Worked wonders for my plants, great quality.",Meera,"Good quality fertilizer, improved soil health significantly.",Pooja,"Easy to use, results are visible within weeks.",Venkat,250grms,500g,2kgs,5kg,Improves soil aeration and water retention.,"Ideal for all plant types, including flowers, vegetables, and lawns.","Formulated for Humic Acid Fertilizer, enhancing your soil's fertility and plant resilience.",22:10:04
1092,SoilSaver,Neem Cake Fertilizer,Organic Fertilizer,689,589,16,INR,Standard Delivery,28-03-2026,Canister,India,http://drive.google.com/thumbnail?id=1iGWn7taWjPXICCtKX9ZyO_W5cjTt-vwR&sz=s409,Give your plants the nourishment they deserve with Neem Cake Fertilizer.,"Ensure vibrant plant life with Neem Cake Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Kiran,"Good quality fertilizer, improved soil health significantly.",Lakshmi,"Excellent product, highly recommended!",Anil,"Would buy again, very satisfied.",Thanuja,250grms,750grms,2kgs,5kg,"Improves soil moisture retention, reducing the need for frequent watering.","Promotes soil aeration, allowing roots to breathe for healthier plant growth.","Give your plants a boost with Neem Cake Fertilizer, enhancing overall plant vitality.",22:06:04
1093,CropMax,Compost Plus,Organic Fertilizer,445,383,15,INR,Free Shipping,15-11-2026,Canister,India,http://drive.google.com/thumbnail?id=1iDvTjtfHOqzow3cGviGQGSununMtKB_C&sz=s409,Give your plants the nourishment they deserve with Compost Plus.,"Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Rahul,"Better than expected, highly effective.",Meghana,"Worked wonders for my plants, great quality.",Meera,"Excellent product, highly recommended!",Anjali,250grms,500g,1kg,5kg,Helps balance soil pH for better nutrient uptake and plant health.,"Improves soil moisture retention, reducing the need for frequent watering.","Give your plants a boost with Compost Plus, enhancing overall plant vitality.",18:07:04
1094,EcoFert,Sulphur Granules,Bio-Fertilizer,500,433,14,INR,Free Shipping,22-01-2025,Bottle,India,http://drive.google.com/thumbnail?id=1xiUccMqfiRExH8FsgSk9NfyiV6iVYubh&sz=s409,Give your plants the nourishment they deserve with Sulphur Granules.,"Ensure vibrant plant life with Sulphur Granules, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Amit,"Better than expected, highly effective.",Vikram,Boosted plant growth significantly.,Shiva,"Good quality fertilizer, improved soil health significantly.",Priya,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Formulated for Sulphur Granules, enhancing your soil's fertility and plant resilience.",18:08:03
1095,GreenGrow,Neem Cake Fertilizer,Organic Fertilizer,422,392,7,INR,Free Shipping,07-05-2026,Bag,India,http://drive.google.com/thumbnail?id=15L7JTMocmHrLwQCz2Jjfskx719zCzVc0&sz=s409,"Neem Cake Fertilizer boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Neem Cake Fertilizer, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Neha,"Good quality fertilizer, improved soil health significantly.",Venkat,"Better than expected, highly effective.",Neha,"Better than expected, highly effective.",Jagadeesh,250grms,500g,2kgs,5kg,Enriched with essential nutrients for faster growth.,Helps balance soil pH for better nutrient uptake and plant health.,"Give your plants a boost with Neem Cake Fertilizer, enhancing overall plant vitality.",18:09:06
1096,CropMax,Micronutrient Mix,Chemical Fertilizer,693,660,5,INR,Free Shipping,14-09-2028,Bag,India,http://drive.google.com/thumbnail?id=1y8clHqriNXdZNKe6tv2caz9dBcmOzukE&sz=s409,"Get exceptional growth with Micronutrient Mix, your plants' best ally.","Ensure vibrant plant life with Micronutrient Mix, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Venkat,"Good quality fertilizer, improved soil health significantly.",Priya,Boosted plant growth significantly.,Meghana,Noticeable improvement in soil fertility.,Aditi,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Formulated for Micronutrient Mix, enhancing your soil's fertility and plant resilience.",22:07:04
1097,SoilSaver,Compost Plus,Chemical Fertilizer,588,526,11,INR,Free Shipping,23-02-2026,Bag,India,http://drive.google.com/thumbnail?id=1GnDyHl1zXyhLNltLL5CubArw5YdleWlW&sz=s409,Give your plants the nourishment they deserve with Compost Plus.,"Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.",My flowers are thriving thanks to this compost!,Venkat,"Perfect for organic gardening, very effective.",Ramesh,Plants look greener and healthier now.,Rohan,"Would buy again, very satisfied.",Ramya,250grms,750grms,2kgs,5kg,Balances soil pH for optimal plant health.,Supports sustainable farming with organic matter.,"Formulated for Compost Plus, enhancing your soil's fertility and plant resilience.",15:10:05
1098,CropMax,Vermicompost,Chemical Fertilizer,331,250,28,INR,Standard Delivery,12-03-2026,Bottle,India,http://drive.google.com/thumbnail?id=1jJXX523Nt7wiBUgFuMEx_2PC9xjnkc7f&sz=s409,"Get exceptional growth with Vermicompost, your plants' best ally.","Ensure vibrant plant life with Vermicompost, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Suresh,My flowers are thriving thanks to this compost!,Pooja,"Impressive results, easy to apply.",Rajesh,"Perfect for organic gardening, very effective.",Manish,250grms,750grms,2kgs,5kg,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.",Balances soil pH for optimal plant health.,"Vermicompost guarantees optimal nutrient release, keeping plants healthy for weeks.",22:10:05
1099,GreenGrow,Sulphur Granules,Bio-Fertilizer,769,706,9,INR,Same Day Delivery,22-07-2027,Bottle,India,http://drive.google.com/thumbnail?id=12oDqIZ0okl3NQoq6eoL5QCACV1BRoSbz&sz=s409,Give your plants the nourishment they deserve with Sulphur Granules.,"Ensure vibrant plant life with Sulphur Granules, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Deepak,"Good quality fertilizer, improved soil health significantly.",Harini,"Impressive results, easy to apply.",Meghana,"Impressive results, easy to apply.",Rohan,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Give your plants a boost with Sulphur Granules, enhancing overall plant vitality.",15:06:03
1100,GreenGrow,Granular NPK Fertilizer,Organic Fertilizer,630,585,7,INR,Standard Delivery,14-11-2026,Canister,India,http://drive.google.com/thumbnail?id=1hu26gKqWMhb_oWpMfnacA8KFVBqfIy-I&sz=s409,"Get exceptional growth with Granular NPK Fertilizer, your plants' best ally.","Ensure vibrant plant life with Granular NPK Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Kiran,"Good value for money, effective results.",Neha,"Easy to use, results are visible within weeks.",Harini,"Good value for money, effective results.",Rajesh,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,Enriched with essential nutrients for faster growth.,"Formulated for Granular NPK Fertilizer, enhancing your soil's fertility and plant resilience.",15:07:06
1101,GreenGrow,Granular NPK Fertilizer,Organic Fertilizer,688,612,12,INR,Free Shipping,26-11-2026,Canister,India,http://drive.google.com/thumbnail?id=16udIOk1vll9v0_tSkCtGU6IOe4FGlq6v&sz=s410,"Get exceptional growth with Granular NPK Fertilizer, your plants' best ally.","Ensure vibrant plant life with Granular NPK Fertilizer, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Lakshmi,Boosted plant growth significantly.,Kunal,"Highly effective for my garden, plants are thriving!",Neha,"Would buy again, very satisfied.",Divya,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,Enriched with essential nutrients for faster growth.,"With Granular NPK Fertilizer, enjoy healthier plants with faster root development.",16:08:05
1102,EcoFert,Nitrogen Booster,Organic Fertilizer,615,569,8,INR,Free Shipping,23-10-2026,Bottle,India,http://drive.google.com/thumbnail?id=1LDk2wke9izeui1JNoYaN8WrgCERZr_Ns&sz=s410,"Nitrogen Booster boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Nitrogen Booster, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Priya,Noticeable improvement in soil fertility.,Rajesh,"Easy to use, results are visible within weeks.",Rahul,Noticeable improvement in soil fertility.,Rajesh,250grms,750grms,1kg,5kg,Enriched with essential nutrients for faster growth.,Improves soil aeration and water retention.,"Nitrogen Booster guarantees optimal nutrient release, keeping plants healthy for weeks.",20:09:03
1103,EcoFert,Poultry Manure,Bio-Fertilizer,349,252,32,INR,Standard Delivery,22-03-2026,Bottle,India,http://drive.google.com/thumbnail?id=1l8DcjYk8JYoh6Lil26TlGK1dsa4CuCdN&sz=s410,"Poultry Manure boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Poultry Manure, offering superior nutrient absorption and growth acceleration.","Boosted my farm yield, excellent organic product.",Amit,"Great for crops, enhanced soil fertility visibly.",Sanjeev,My crops have never been healthier!,Divya,"Better than expected, highly effective.",Jagadeesh,250grms,750grms,2kgs,5kg,Boosts soil microbial activity for healthier crops.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Give your plants a boost with Poultry Manure, enhancing overall plant vitality.",15:09:05
1104,SoilSaver,Potash Boost,Bio-Fertilizer,361,300,18,INR,Free Shipping,06-05-2027,Bottle,India,http://drive.google.com/thumbnail?id=1En-nPnosGD_vHpNjLdiQiS-DZmwe3DDv&sz=s410,Give your plants the nourishment they deserve with Potash Boost.,"Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Pooja,"Highly effective for my garden, plants are thriving!",Ramesh,"Good value for money, effective results.",Rajesh,"Easy to use, results are visible within weeks.",Sonal,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Improves soil moisture retention, reducing the need for frequent watering.","Formulated for Potash Boost, enhancing your soil's fertility and plant resilience.",15:10:05
1105,GreenGrow,DAP (Di-Ammonium Phosphate),Chemical Fertilizer,313,273,14,INR,Standard Delivery,05-12-2026,Bag,India,http://drive.google.com/thumbnail?id=1-374FJiks-2hb07WYblLluJq8EtS3S7D&sz=s410,"Maximize your garden's potential with DAP (Di-Ammonium Phosphate), specially formulated for robust development.","Ensure vibrant plant life with DAP (Di-Ammonium Phosphate), offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Kiran,"Good quality fertilizer, improved soil health significantly.",Neha,Plants look greener and healthier now.,Rohan,My crops have never been healthier!,Anil,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,Enriched with essential nutrients for faster growth.,"DAP (Di-Ammonium Phosphate) guarantees optimal nutrient release, keeping plants healthy for weeks.",16:06:05
1106,SoilSaver,Humic Acid Fertilizer,Chemical Fertilizer,524,467,12,INR,Standard Delivery,24-11-2025,Canister,India,http://drive.google.com/thumbnail?id=1NZr12-1z1js6PYlreqOcwDZurhGP0RXa&sz=s410,"Maximize your garden's potential with Humic Acid Fertilizer, specially formulated for robust development.","Ensure vibrant plant life with Humic Acid Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Suresh,"Good quality fertilizer, improved soil health significantly.",Neha,Plants look greener and healthier now.,Anjali,"Good value for money, effective results.",Anil,250grms,500g,2kgs,5kg,"Maintains effectiveness for longer periods, ensuring durability in storage.","Promotes soil aeration, allowing roots to breathe for healthier plant growth.","With Humic Acid Fertilizer, enjoy healthier plants with faster root development.",22:09:05
1107,SoilSaver,Bone Meal,Organic Fertilizer,391,315,22,INR,Free Shipping,17-04-2025,Bag,India,http://drive.google.com/thumbnail?id=1kSnYuqHrTyt_cpWXpqhalj6AY3YGveTO&sz=s410,"Get exceptional growth with Bone Meal, your plants' best ally.","Ensure vibrant plant life with Bone Meal, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Ananya,"Easy to use, results are visible within weeks.",Ramesh,"Good quality fertilizer, improved soil health significantly.",Kiran,Boosted plant growth significantly.,Meghana,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Made with eco-friendly, renewable ingredients for environmentally conscious gardening.","Give your plants a boost with Bone Meal, enhancing overall plant vitality.",15:07:04
1108,CropMax,Nitrogen Booster,Bio-Fertilizer,781,724,8,INR,Same Day Delivery,02-06-2026,Bottle,India,http://drive.google.com/thumbnail?id=1e2p4G22pLZ6jKcxMboCMVcfWeBRaOZ89&sz=s410,"Get exceptional growth with Nitrogen Booster, your plants' best ally.","Ensure vibrant plant life with Nitrogen Booster, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Deepak,My crops have never been healthier!,Aditi,"Impressive results, easy to apply.",Rajesh,Plants look greener and healthier now.,Jagadeesh,250grms,750grms,2kgs,5kg,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.","Safe for plants, pets, and children with natural, non-toxic ingredients.","With Nitrogen Booster, enjoy healthier plants with faster root development.",22:08:04
1109,SoilSaver,Nitrogen Booster,Bio-Fertilizer,801,718,11,INR,Free Shipping,14-08-2025,Canister,India,http://drive.google.com/thumbnail?id=1pp2j-JitDgipiriMGY1bmhP6uL7IhOLk&sz=s410,"Get exceptional growth with Nitrogen Booster, your plants' best ally.","Ensure vibrant plant life with Nitrogen Booster, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Ananya,"Highly effective for my garden, plants are thriving!",Neha,"Good quality fertilizer, improved soil health significantly.",Manish,Boosted plant growth significantly.,Jagadeesh,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,Improves soil aeration and water retention.,"Give your plants a boost with Nitrogen Booster, enhancing overall plant vitality.",15:08:03
1110,CropMax,Calcium Nitrate,Organic Fertilizer,400,373,7,INR,Free Shipping,03-11-2025,Bag,India,http://drive.google.com/thumbnail?id=1i4zGJdgMyqRl1sGE_wVMcVCD6wPJlg93&sz=s410,Give your plants the nourishment they deserve with Calcium Nitrate.,"Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Harini,"Good quality fertilizer, improved soil health significantly.",Venkat,"Excellent product, highly recommended!",Rajesh,My crops have never been healthier!,Jagadeesh,250grms,750grms,1kg,5kg,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.",Enriched with essential nutrients for faster growth.,"Calcium Nitrate guarantees optimal nutrient release, keeping plants healthy for weeks.",20:06:04
1111,EcoFert,Super Phosphate,Organic Fertilizer,327,263,22,INR,Standard Delivery,25-08-2026,Bag,India,http://drive.google.com/thumbnail?id=1dRXCIpmGJYv34UMloPc5NZe3USMApdIn&sz=s411,Give your plants the nourishment they deserve with Super Phosphate.,"Ensure vibrant plant life with Super Phosphate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Ananya,"Good quality fertilizer, improved soil health significantly.",Pooja,"Would buy again, very satisfied.",Shiva,Boosted plant growth significantly.,Divya,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,"Safe for plants, pets, and children with natural, non-toxic ingredients.","Give your plants a boost with Super Phosphate, enhancing overall plant vitality.",22:10:04
1112,CropMax,Nitrogen Booster,Bio-Fertilizer,496,464,7,INR,Same Day Delivery,05-04-2026,Canister,India,http://drive.google.com/thumbnail?id=1lZvb3s9Q-ErMko8V3J_-zNLpkSBp1dBk&sz=s411,"Get exceptional growth with Nitrogen Booster, your plants' best ally.","Ensure vibrant plant life with Nitrogen Booster, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Rahul,"Excellent product, highly recommended!",Thanuja,"Easy to use, results are visible within weeks.",Manish,"Good value for money, effective results.",Ramya,250grms,750grms,2kgs,5kg,"Promotes soil aeration, allowing roots to breathe for healthier plant growth.",Enhances root growth and strengthens plant immunity.,"Nitrogen Booster guarantees optimal nutrient release, keeping plants healthy for weeks.",22:09:04
1113,EcoFert,Organic Manure,Organic Fertilizer,956,920,4,INR,Free Shipping,03-12-2025,Bottle,India,http://drive.google.com/thumbnail?id=1GJ7h-S8F4zpQof-tqsv5QQF3i53SKKMb&sz=s411,"Get exceptional growth with Organic Manure, your plants' best ally.","Ensure vibrant plant life with Organic Manure, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Sonal,"Good quality fertilizer, improved soil health significantly.",Ramesh,"Excellent product, highly recommended!",Rohan,"Highly effective for my garden, plants are thriving!",Deepak,250grms,500g,2kgs,5kg,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","Improves soil moisture retention, reducing the need for frequent watering.","Give your plants a boost with Organic Manure, enhancing overall plant vitality.",18:06:04
1114,GreenGrow,Organic Manure,Organic Fertilizer,875,784,11,INR,Standard Delivery,13-07-2025,Bag,India,http://drive.google.com/thumbnail?id=1QG-hLeqb4TdHhIiIH6L4Onrh4rJ8E6GO&sz=s411,"Organic Manure boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Organic Manure, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Kiran,"Impressive results, easy to apply.",Shiva,"Highly effective for my garden, plants are thriving!",Suresh,"Easy to use, results are visible within weeks.",Pooja,250grms,750grms,2kgs,5kg,Improves soil aeration and water retention.,Enriched with essential nutrients for faster growth.,"Organic Manure guarantees optimal nutrient release, keeping plants healthy for weeks.",18:07:06
1115,CropMax,Micronutrient Mix,Bio-Fertilizer,626,562,11,INR,Same Day Delivery,07-04-2025,Bag,India,http://drive.google.com/thumbnail?id=1ZZ8NPUpAPR-mE2C_XmkzSnPAk4Ux4cT_&sz=s411,Give your plants the nourishment they deserve with Micronutrient Mix.,"Ensure vibrant plant life with Micronutrient Mix, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Sonal,"Easy to use, results are visible within weeks.",Ramesh,"Good value for money, effective results.",Meghana,"Worked wonders for my plants, great quality.",Aditi,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,Helps balance soil pH for better nutrient uptake and plant health.,"Give your plants a boost with Micronutrient Mix, enhancing overall plant vitality.",22:10:04
1116,AgriBoost,Bio Phosphate,Chemical Fertilizer,459,413,11,INR,Same Day Delivery,25-04-2026,Bottle,India,http://drive.google.com/thumbnail?id=1tq9MdMtNV-MW0hzt20hFxBBBMUq5UW8o&sz=s411,"Bio Phosphate boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Bio Phosphate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Priya,"Good quality fertilizer, improved soil health significantly.",Ramesh,"Easy to use, results are visible within weeks.",Sonal,"Better than expected, highly effective.",Shiva,250grms,750grms,1kg,5kg,Improves soil aeration and water retention.,Helps balance soil pH for better nutrient uptake and plant health.,"Formulated for Bio Phosphate, enhancing your soil's fertility and plant resilience.",20:07:04
1117,CropMax,Vermicompost,Bio-Fertilizer,727,691,5,INR,Same Day Delivery,02-12-2025,Bag,India,http://drive.google.com/thumbnail?id=12iYK76M95A_qV6h3ATJa7v7XkvvN4ZFG&sz=s411,Give your plants the nourishment they deserve with Vermicompost.,"Ensure vibrant plant life with Vermicompost, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Sonal,"Perfect for organic gardening, very effective.",Deepak,My flowers are thriving thanks to this compost!,Ramesh,Boosted plant growth significantly.,Thanuja,250grms,750grms,2kgs,5kg,Supports sustainable farming with organic matter.,"Maintains effectiveness for longer periods, ensuring durability in storage.","Give your plants a boost with Vermicompost, enhancing overall plant vitality.",20:07:04
1118,CropMax,Calcium Nitrate,Chemical Fertilizer,757,658,14,INR,Same Day Delivery,03-02-2026,Canister,India,http://drive.google.com/thumbnail?id=1OPXdg7jiC4--RYkRpvx-8FZpWTx-i192&sz=s411,"Get exceptional growth with Calcium Nitrate, your plants' best ally.","Ensure vibrant plant life with Calcium Nitrate, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Ananya,My crops have never been healthier!,Rohan,"Good quality fertilizer, improved soil health significantly.",Priya,"Easy to use, results are visible within weeks.",Neha,250grms,500g,2kgs,5kg,Enhances root growth and strengthens plant immunity.,Improves soil aeration and water retention.,"Calcium Nitrate guarantees optimal nutrient release, keeping plants healthy for weeks.",15:09:04
1119,AgriBoost,Urea Fertilizer,Bio-Fertilizer,809,720,12,INR,Standard Delivery,23-05-2026,Bag,India,http://drive.google.com/thumbnail?id=1hNrzwW8JEFBWlzgkNoIEjJLrgKU_crWP&sz=s411,"Get exceptional growth with Urea Fertilizer, your plants' best ally.","Ensure vibrant plant life with Urea Fertilizer, offering superior nutrient absorption and growth acceleration.","Highly effective for my garden, plants are thriving!",Rahul,"Good quality fertilizer, improved soil health significantly.",Lakshmi,"Good value for money, effective results.",Kunal,"Excellent product, highly recommended!",Divya,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Ideal for all plant types, including flowers, vegetables, and lawns.","Formulated for Urea Fertilizer, enhancing your soil's fertility and plant resilience.",22:06:06
1120,SoilSaver,Compost Plus,Bio-Fertilizer,691,615,12,INR,Same Day Delivery,18-09-2026,Canister,India,http://drive.google.com/thumbnail?id=1FXSHcOOdw5aZFcCsVEedWXlII4CE0GtE&sz=s411,"Maximize your garden's potential with Compost Plus, specially formulated for robust development.","Ensure vibrant plant life with Compost Plus, offering superior nutrient absorption and growth acceleration.","Improved soil texture, and plants are greener.",Pooja,"Perfect for organic gardening, very effective.",Manish,"Excellent product, highly recommended!",Neha,My flowers are thriving thanks to this compost!,Suresh,250grms,750grms,2kgs,5kg,Supports sustainable farming with organic matter.,Helps balance soil pH for better nutrient uptake and plant health.,"With Compost Plus, enjoy healthier plants with faster root development.",20:10:04
1121,GreenGrow,Neem Cake Fertilizer,Bio-Fertilizer,908,852,6,INR,Same Day Delivery,29-06-2025,Canister,India,http://drive.google.com/thumbnail?id=1I_6B-HNip_BTCOPn8-j8TXWgOhJ27zRv&sz=s412,Give your plants the nourishment they deserve with Neem Cake Fertilizer.,"Ensure vibrant plant life with Neem Cake Fertilizer, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Manish,Plants look greener and healthier now.,Anjali,"Good quality fertilizer, improved soil health significantly.",Rahul,Boosted plant growth significantly.,Anil,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,Enriched with essential nutrients for faster growth.,"With Neem Cake Fertilizer, enjoy healthier plants with faster root development.",20:07:03
1122,GreenGrow,Bone Meal,Chemical Fertilizer,617,593,4,INR,Free Shipping,07-05-2026,Bottle,India,http://drive.google.com/thumbnail?id=1UK3avJlB2Rco2SHG_lNrwIWoRmij3Wf8&sz=s412,"Get exceptional growth with Bone Meal, your plants' best ally.","Ensure vibrant plant life with Bone Meal, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Kiran,"Good value for money, effective results.",Neha,"Good quality fertilizer, improved soil health significantly.",Manish,Boosted plant growth significantly.,Aditi,250grms,750grms,2kgs,5kg,"Maintains effectiveness for longer periods, ensuring durability in storage.",Improves soil aeration and water retention.,"Bone Meal guarantees optimal nutrient release, keeping plants healthy for weeks.",22:06:03
1123,GreenGrow,Bone Meal,Bio-Fertilizer,528,494,7,INR,Free Shipping,09-12-2028,Bag,India,http://drive.google.com/thumbnail?id=1OdIBP4Q6xQZQ6fUe920f8NZ1-orRONrI&sz=s412,Give your plants the nourishment they deserve with Bone Meal.,"Ensure vibrant plant life with Bone Meal, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Kiran,"Good quality fertilizer, improved soil health significantly.",Sanjeev,"Impressive results, easy to apply.",Rajesh,"Highly effective for my garden, plants are thriving!",Ramesh,250grms,750grms,2kgs,5kg,Enhances root growth and strengthens plant immunity.,Improves soil aeration and water retention.,"Give your plants a boost with Bone Meal, enhancing overall plant vitality.",15:10:03
1124,EcoFert,Potash Boost,Organic Fertilizer,503,453,10,INR,Same Day Delivery,10-07-2025,Canister,India,http://drive.google.com/thumbnail?id=1_HouUZRI7XZzcwm-58iTUWSNi_-oHbDr&sz=s412,Give your plants the nourishment they deserve with Potash Boost.,"Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Easy to use, results are visible within weeks.",Priya,"Highly effective for my garden, plants are thriving!",Sonal,My crops have never been healthier!,Ramya,"Impressive results, easy to apply.",Meera,250grms,750grms,2kgs,5kg,Enriched with essential nutrients for faster growth.,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","Potash Boost guarantees optimal nutrient release, keeping plants healthy for weeks.",20:09:03
1125,CropMax,Potash Boost,Organic Fertilizer,676,580,15,INR,Same Day Delivery,03-01-2026,Canister,India,http://drive.google.com/thumbnail?id=16BfNn7ywbuiEUSC4WvxwXh4rf6X47w4y&sz=s412,"Potash Boost boosts soil health, creating a perfect environment for growth.","Ensure vibrant plant life with Potash Boost, offering superior nutrient absorption and growth acceleration.","Good quality fertilizer, improved soil health significantly.",Kiran,Plants look greener and healthier now.,Anjali,"Better than expected, highly effective.",Anjali,Plants look greener and healthier now.,Divya,250grms,500g,2kgs,5kg,Enhances root growth and strengthens plant immunity.,"Rapidly provides essential nutrients, ensuring immediate nourishment for plants.","With Potash Boost, enjoy healthier plants with faster root development.",15:07:04
